iter	Passed	Remaining
0	12	3646
1	23	3517
2	34	3431
3	45	3361
4	56	3337
5	68	3333
6	79	3308
7	92	3377
8	105	3397
9	116	3373
10	126	3335
11	137	3305
12	149	3308
13	164	3355
14	176	3356
15	187	3325
16	199	3312
17	212	3327
18	223	3305
19	235	3294
20	246	3277
21	258	3261
22	268	3234
23	279	3218
24	291	3203
25	301	3181
26	313	3169
27	324	3152
28	335	3132
29	346	3120
30	358	3110
31	369	3093
32	381	3082
33	392	3070
34	403	3053
35	414	3041
36	429	3051
37	443	3060
38	456	3052
39	467	3041
40	480	3036
41	493	3033
42	508	3039
43	524	3049
44	540	3060
45	556	3070
46	571	3074
47	582	3058
48	594	3043
49	606	3030
50	618	3018
51	629	3000
52	642	2993
53	657	2994
54	668	2978
55	681	2967
56	694	2960
57	708	2954
58	722	2951
59	734	2939
60	745	2921
61	758	2910
62	769	2896
63	781	2882
64	792	2865
65	803	2849
66	814	2834
67	830	2834
68	843	2824
69	854	2809
70	865	2793
71	876	2776
72	887	2759
73	899	2745
74	910	2730
75	920	2714
76	932	2700
77	943	2684
78	953	2668
79	965	2654
80	976	2640
81	987	2624
82	998	2610
83	1009	2597
84	1020	2582
85	1032	2568
86	1043	2554
87	1054	2539
88	1065	2526
89	1076	2512
90	1087	2497
91	1098	2484
92	1109	2470
93	1121	2458
94	1136	2451
95	1149	2441
96	1160	2428
97	1171	2414
98	1182	2400
99	1194	2389
100	1206	2377
101	1217	2363
102	1233	2358
103	1248	2352
104	1259	2339
105	1271	2326
106	1281	2312
107	1293	2299
108	1304	2286
109	1316	2273
110	1328	2262
111	1340	2250
112	1353	2240
113	1366	2229
114	1377	2216
115	1389	2204
116	1402	2193
117	1415	2182
118	1432	2178
119	1447	2171
120	1461	2162
121	1475	2152
122	1487	2140
123	1501	2130
124	1512	2118
125	1524	2105
126	1536	2093
127	1549	2082
128	1561	2069
129	1575	2060
130	1587	2047
131	1598	2034
132	1610	2022
133	1625	2013
134	1643	2008
135	1654	1995
136	1666	1983
137	1680	1972
138	1692	1960
139	1703	1946
140	1715	1934
141	1727	1922
142	1738	1909
143	1750	1896
144	1763	1885
145	1776	1873
146	1786	1859
147	1799	1847
148	1810	1834
149	1823	1823
150	1834	1809
151	1845	1797
152	1857	1784
153	1868	1771
154	1879	1758
155	1891	1746
156	1902	1733
157	1913	1719
158	1925	1707
159	1936	1694
160	1948	1681
161	1959	1669
162	1970	1656
163	1984	1645
164	1996	1633
165	2008	1621
166	2021	1609
167	2033	1597
168	2045	1585
169	2057	1573
170	2069	1561
171	2080	1548
172	2092	1536
173	2105	1524
174	2120	1514
175	2131	1501
176	2142	1489
177	2156	1477
178	2167	1465
179	2179	1453
180	2190	1440
181	2202	1428
182	2215	1416
183	2226	1403
184	2238	1391
185	2251	1379
186	2262	1366
187	2273	1354
188	2286	1342
189	2297	1330
190	2309	1317
191	2320	1305
192	2331	1292
193	2342	1280
194	2354	1267
195	2366	1255
196	2378	1243
197	2390	1231
198	2401	1219
199	2413	1206
200	2424	1194
201	2435	1181
202	2447	1169
203	2459	1157
204	2476	1147
205	2490	1136
206	2501	1123
207	2513	1111
208	2527	1100
209	2541	1089
210	2552	1076
211	2564	1064
212	2578	1053
213	2590	1041
214	2605	1030
215	2620	1018
216	2634	1007
217	2650	997
218	2667	986
219	2679	974
220	2691	962
221	2705	950
222	2718	938
223	2728	925
224	2740	913
225	2752	901
226	2763	888
227	2776	876
228	2789	864
229	2801	852
230	2814	840
231	2826	828
232	2837	816
233	2850	803
234	2861	791
235	2873	779
236	2885	766
237	2895	754
238	2906	741
239	2918	729
240	2930	717
241	2941	704
242	2953	692
243	2965	680
244	2976	668
245	2987	655
246	2999	643
247	3011	631
248	3022	619
249	3034	606
250	3045	594
251	3057	582
252	3069	570
253	3082	558
254	3097	546
255	3108	534
256	3119	522
257	3131	509
258	3143	497
259	3155	485
260	3168	473
261	3181	461
262	3193	449
263	3205	437
264	3217	424
265	3229	412
266	3241	400
267	3252	388
268	3263	376
269	3275	363
270	3287	351
271	3299	339
272	3312	327
273	3325	315
274	3337	303
275	3348	291
276	3361	279
277	3374	267
278	3389	255
279	3402	243
280	3414	230
281	3428	218
282	3440	206
283	3451	194
284	3462	182
285	3474	170
286	3485	157
287	3496	145
288	3508	133
289	3520	121
290	3535	109
291	3548	97
292	3561	85
293	3578	73
294	3590	60
295	3603	48
296	3618	36
297	3629	24
298	3642	12
299	3654	0
