date,fii_net,dii_net
2026-03-18,-2714.35,3253.03
2026-03-19,-7558.19,3863.96
2026-03-20,-5518.39,5706.23
2026-03-23,-10414.23,12033.97
2026-03-24,-8009.56,5867.15
2026-03-25,-1805.37,5429.78
2026-03-27,-4367.3,3566.15
2026-03-30,-11163.06,14894.72
2026-04-01,-8331.15,7171.8
2026-04-02,-9931.13,7208.41
2026-04-06,-8167.17,8088.7
2026-04-07,-8692.11,7979.5
2026-04-08,-2811.97,4168.17
2026-04-09,-1711.19,955.9
2026-04-10,672.09,410.05
2026-04-13,-1983.18,2432.3
2026-04-15,666.15,-568.98
2026-04-16,382.36,-3427.75
2026-04-17,683.2,-4721.48
2026-04-20,-1059.93,2966.89
2026-04-21,-1918.99,2221.27
2026-04-22,-2078.36,-1048.17
2026-04-23,-3254.71,941.35
2026-04-24,-8827.87,4700.71
2026-04-27,-1151.48,4123.92
2026-04-28,-2103.74,1712.01
2026-04-29,-2468.42,2262.17
2026-04-30,-8047.86,3487.1
2026-05-04,2835.62,4764.16
2026-05-05,-3621.58,2602.62
2026-05-06,-5834.9,6836.87
2026-05-07,-340.89,441.07
2026-05-08,-4110.6,6748.13
2026-05-11,-8437.56,5939.65
2026-05-12,-1959.39,7990.32
2026-05-13,-4703.15,5869.05
2026-05-14,187.46,684.33
2026-05-15,1329.17,-1958.82
2026-05-18,2813.69,2682.12
2026-05-19,-2457.49,3801.68
2026-05-20,-1597.35,1968.35
2026-05-21,-1891.21,2492.42
2026-05-22,-4440.47,6003.53
2026-05-25,821.75,3856.88
2026-05-26,-2407.87,1361.43
2026-05-27,-1042.7,3821.0
2026-05-29,-21105.86,16764.14
2026-06-01,-3911.68,5109.13
2026-06-02,-8362.92,9589.32
2026-06-03,-5616.56,5740.89
2026-06-04,-4447.06,4360.14
2026-06-05,-8776.25,9133.57
2026-06-08,-5555.67,5165.24
2026-06-09,-4566.03,6159.48
2026-06-10,-2124.98,3123.95
2026-06-11,-1987.09,4224.51
2026-06-12,-1082.18,5341.29
2026-06-15,200.05,3189.26
2026-06-16,-749.18,0.06
2026-06-17,101.59,1561.4
2026-06-18,-1025.2,3516.81
2026-06-19,4859.07,-1159.64
2026-06-22,-635.91,1035.72
2026-06-23,17.86,680.21
2026-06-24,-1843.4,3637.26
2026-06-25,383.76,5747.75
2026-06-29,-1350.1,2801.45
2026-06-30,-2556.75,6842.34
